CodCan,LibCan,Bureau de vote,Libellé,Inscrits,Votants,Nuls,Blancs,Exprimés,Procurations,LibBin,CodNuaBin,LibNuaBin,NbVoix,LibBin,CodNuaBin,LibNuaBin,NbVoix,LibBin,CodNuaBin,LibNuaBin,NbVoix,LibBin,CodNuaBin,LibNuaBin,NbVoix,LibBin,CodNuaBin,LibNuaBin,NbVoix,LibBin,CodNuaBin,LibNuaBin,NbVoix
02,Angers 2,217,ECOLE JEAN ROSTAND,871,422,11,30,381,5,GAUDIN Philippe - MEVEL PLA Norma,BC-SOC,Parti Socialiste,239,GROUSSARD Gilles - MAILLET Véronique,BC-UD,Union de la Droite,142,,,,,,,,,,,,,,,,
02,Angers 2,218,SALLE AUGUSTE CHUPIN,1050,517,13,18,486,14,GAUDIN Philippe - MEVEL PLA Norma,BC-SOC,Parti Socialiste,247,GROUSSARD Gilles - MAILLET Véronique,BC-UD,Union de la Droite,239,,,,,,,,,,,,,,,,
02,Angers 2,219,SALLE AUGUSTE CHUPIN,971,464,16,18,430,5,GAUDIN Philippe - MEVEL PLA Norma,BC-SOC,Parti Socialiste,216,GROUSSARD Gilles - MAILLET Véronique,BC-UD,Union de la Droite,214,,,,,,,,,,,,,,,,
02,Angers 2,251,BOUCHEMAINE,5424,3020,72,181,2767,76,GAUDIN Philippe - MEVEL PLA Norma,BC-SOC,Parti Socialiste,1248,GROUSSARD Gilles - MAILLET Véronique,BC-UD,Union de la Droite,1519,,,,,,,,,,,,,,,,
02,Angers 2,252,SAINTE GEMMES SUR LOIRE,2781,1440,43,76,1321,24,GAUDIN Philippe - MEVEL PLA Norma,BC-SOC,Parti Socialiste,582,GROUSSARD Gilles - MAILLET Véronique,BC-UD,Union de la Droite,739,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03,Angers 3,301,ECOLE GREGOIRE BORDILLON,1393,728,18,33,677,16,MOREAU Michelle - POQUIN Franck,BC-UD,Union de la Droite,338,AMY Fatimata - ROISNÉ Didier,BC-SOC,Parti Socialiste,339,,,,,,,,,,,,,,,,
03,Angers 3,302,ECOLE GREGOIRE BORDILLON,1001,458,7,34,417,7,MOREAU Michelle - POQUIN Franck,BC-UD,Union de la Droite,192,AMY Fatimata - ROISNÉ Didier,BC-SOC,Parti Socialiste,225,,,,,,,,,,,,,,,,
03,Angers 3,303,ECOLE RASPAIL,810,361,4,18,339,14,MOREAU Michelle - POQUIN Franck,BC-UD,Union de la Droite,166,AMY Fatimata - ROISNÉ Didier,BC-SOC,Parti Socialiste,173,,,,,,,,,,,,,,,,
03,Angers 3,304,ECOLE RASPAIL,1149,482,8,17,457,11,MOREAU Michelle - POQUIN Franck,BC-UD,Union de la Droite,206,AMY Fatimata - ROISNÉ Didier,BC-SOC,Parti Socialiste,251,,,,,,,,,,,,,,,,
03,Angers 3,305,ECOLE MATERNELLE RENE GASNIER,948,468,9,22,437,10,MOREAU Michelle - POQUIN Franck,BC-UD,Union de la Droite,212,AMY Fatimata - ROISNÉ Didier,BC-SOC,Parti Socialiste,225,,,,,,,,,,,,,,,,
03,Angers 3,306,ECOLE MATERNELLE RENE GASNIER,861,392,9,16,367,7,MOREAU Michelle - POQUIN Franck,BC-UD,Union de la Droite,187,AMY Fatimata - ROISNÉ Didier,BC-SOC,Parti Socialiste,180,,,,,,,,,,,,,,,,
03,Angers 3,307,CHAPELLE SAINT-LAZARE,1032,493,11,23,459,12,MOREAU Michelle - POQUIN Franck,BC-UD,Union de la Droite,202,AMY Fatimata - ROISNÉ Didier,BC-SOC,Parti Socialiste,257,,,,,,,,,,,,,,,,
03,Angers 3,308,ECOLE ROBERT DESNOS,878,363,11,23,329,2,MOREAU Michelle - POQUIN Franck,BC-UD,Union de la Droite,151,AMY Fatimata - ROISNÉ Didier,BC-SOC,Parti Socialiste,178,,,,,,,,,,,,,,,,
03,Angers 3,309,ECOLE ROBERT DESNOS,923,328,14,11,303,3,MOREAU Michelle - POQUIN Franck,BC-UD,Union de la Droite,98,AMY Fatimata - ROISNÉ Didier,BC-SOC,Parti Socialiste,205,,,,,,,,,,,,,,,,
03,Angers 3,310,ECOLE MATERNELLE ALDO FERRARO,1012,511,11,26,474,6,MOREAU Michelle - POQUIN Franck,BC-UD,Union de la Droite,179,AMY Fatimata - ROISNÉ Didier,BC-SOC,Parti Socialiste,295,,,,,,,,,,,,,,,,
03,Angers 3,311,ECOLE MATERNELLE ALDO FERRARO,1267,482,39,15,428,5,MOREAU Michelle - POQUIN Franck,BC-UD,Union de la Droite,163,AMY Fatimata - ROISNÉ Didier,BC-SOC,Parti Socialiste,265,,,,,,,,,,,,,,,,
03,Angers 3,312,ECOLE MONTESQUIEU,1306,503,16,21,466,2,MOREAU Michelle - POQUIN Franck,BC-UD,Union de la Droite,220,AMY Fatimata - ROISNÉ Didier,BC-SOC,Parti Socialiste,246,,,,,,,,,,,,,,,,
03,Angers 3,351,BEAUCOUZE,4139,2164,34,94,2036,33,MOREAU Michelle - POQUIN Franck,BC-UD,Union de la Droite,830,AMY Fatimata - ROISNÉ Didier,BC-SOC,Parti Socialiste,1206,,,,,,,,,,,,,,,,
03,Angers 3,352,BEHUARD,109,57,0,2,55,4,MOREAU Michelle - POQUIN Franck,BC-UD,Union de la Droite,24,AMY Fatimata - ROISNÉ Didier,BC-SOC,Parti Socialiste,31,,,,,,,,,,,,,,,,
03,Angers 3,353,SAINT CLEMENT DE LA PLACE,1411,744,0,57,687,11,MOREAU Michelle - POQUIN Franck,BC-UD,Union de la Droite,259,AMY Fatimata - ROISNÉ Didier,BC-SOC,Parti Socialiste,428,,,,,,,,,,,,,,,,
03,Angers 3,354,SAINT JEAN DE LINIERES,1223,666,10,50,606,5,MOREAU Michelle - POQUIN Franck,BC-UD,Union de la Droite,330,AMY Fatimata - ROISNÉ Didier,BC-SOC,Parti Socialiste,276,,,,,,,,,,,,,,,,
03,Angers 3,355,SAINT LAMBERT LA POTHERIE,1895,970,22,62,886,18,MOREAU Michelle - POQUIN Franck,BC-UD,Union de la Droite,502,AMY Fatimata - ROISNÉ Didier,BC-SOC,Parti Socialiste,384,,,,,,,,,,,,,,,,
03,Angers 3,356,SAINT LEGER DES BOIS,1192,670,11,32,627,7,MOREAU Michelle - POQUIN Franck,BC-UD,Union de la Droite,395,AMY Fatimata - ROISNÉ Didier,BC-SOC,Parti Socialiste,232,,,,,,,,,,,,,,,,
03,Angers 3,357,SAINT MARTIN DU FOUILLOUX,1265,673,24,47,602,12,MOREAU Michelle - POQUIN Franck,BC-UD,Union de la Droite,296,AMY Fatimata - ROISNÉ Didier,BC-SOC,Parti Socialiste,306,,,,,,,,,,,,,,,,
03,Angers 3,358,SAVENNIERES,972,497,9,43,445,13,MOREAU Michelle - POQUIN Franck,BC-UD,Union de la Droite,232,AMY Fatimata - ROISNÉ Didier,BC-SOC,Parti Socialiste,213,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04,Angers 4,401,ECOLE MATERNELLE RENE DESCARTES,980,417,8,21,388,9,CHOUTEAU Marie-Hélène - ROTUREAU Jean-Luc,BC-DVG,Divers gauche,221,DE LA BIGNE Philippe - ENGEL Karine,BC-UD,Union de la Droite,167,,,,,,,,,,,,,,,,
04,Angers 4,402,SALLE DAVIERS,1077,541,10,21,510,14,CHOUTEAU Marie-Hélène - ROTUREAU Jean-Luc,BC-DVG,Divers gauche,280,DE LA BIGNE Philippe - ENGEL Karine,BC-UD,Union de la Droite,230,,,,,,,,,,,,,,,,
04,Angers 4,403,ECOLE MATERNELLE GERARD PHILIPE,952,441,11,27,403,10,CHOUTEAU Marie-Hélène - ROTUREAU Jean-Luc,BC-DVG,Divers gauche,246,DE LA BIGNE Philippe - ENGEL Karine,BC-UD,Union de la Droite,157,,,,,,,,,,,,,,,,
04,Angers 4,404,ECOLE MATERNELLE GERARD PHILIPE,1204,582,21,41,520,5,CHOUTEAU Marie-Hélène - ROTUREAU Jean-Luc,BC-DVG,Divers gauche,307,DE LA BIGNE Philippe - ENGEL Karine,BC-UD,Union de la Droite,213,,,,,,,,,,,,,,,,
04,Angers 4,405,ECOLE ELEMENTAIRE NELSON MANDELA,780,219,6,17,196,2,CHOUTEAU Marie-Hélène - ROTUREAU Jean-Luc,BC-DVG,Divers gauche,136,DE LA BIGNE Philippe - ENGEL Karine,BC-UD,Union de la Droite,60,,,,,,,,,,,,,,,,
