CodCan,LibCan,Bureau de vote,Libellé,Inscrits,Votants,Nuls,Blancs,Exprimés,Procurations,LibBin,CodNuaBin,LibNuaBin,NbVoix,LibBin,CodNuaBin,LibNuaBin,NbVoix,LibBin,CodNuaBin,LibNuaBin,NbVoix,LibBin,CodNuaBin,LibNuaBin,NbVoix,LibBin,CodNuaBin,LibNuaBin,NbVoix,LibBin,CodNuaBin,LibNuaBin,NbVoix
01,Angers 1,123,ECOLE MATERNELLE LAREVELLIERE,1109,529,8,21,500,5,BROCHARD Virginie - DULONG Vincent,BC-VEC,Europe-Ecologie-Les Verts,52,DROUET D'AUBIGNY Frédérique - GILLET Christian,BC-UD,Union de la Droite,150,CHAUVIN Florian - PARENT Nathalie,BC-SOC,Parti Socialiste,138,DE VITTON Blandine - GUILLERMET Pierre-Augustin,BC-FN,Front National,109,FOURAGE Christine – GICQUEL Marc,BC-FG,Front de Gauche,51,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02,Angers 2,201,ECOLE CHARLES BENIER,820,401,7,16,378,11,GAUDIN Philippe - MEVEL PLA Norma,BC-SOC,Parti Socialiste,111,AIRAUD Juliette - BROUILLARD - DUSONG Valentin,BC-COM,Parti communiste français,25,GUILLERMET Camille - MORINEAU Patrick,BC-FN,Front National,59,BARON Bruno - PRODHOMarianne,BC-VEC,Europe-Ecologie-Les Verts,68,GROUSSARD Gilles - MAILLET Véronique,BC-UD,Union de la Droite,115,,,,
02,Angers 2,202,ECOLE CHARLES BENIER,1334,751,5,20,726,21,GAUDIN Philippe - MEVEL PLA Norma,BC-SOC,Parti Socialiste,211,AIRAUD Juliette - BROUILLARD - DUSONG Valentin,BC-COM,Parti communiste français,37,GUILLERMET Camille - MORINEAU Patrick,BC-FN,Front National,86,BARON Bruno - PRODHOMarianne,BC-VEC,Europe-Ecologie-Les Verts,114,GROUSSARD Gilles - MAILLET Véronique,BC-UD,Union de la Droite,278,,,,
02,Angers 2,203,ECOLE CHARLES BENIER,1054,522,2,19,501,3,GAUDIN Philippe - MEVEL PLA Norma,BC-SOC,Parti Socialiste,157,AIRAUD Juliette - BROUILLARD - DUSONG Valentin,BC-COM,Parti communiste français,18,GUILLERMET Camille - MORINEAU Patrick,BC-FN,Front National,89,BARON Bruno - PRODHOMarianne,BC-VEC,Europe-Ecologie-Les Verts,49,GROUSSARD Gilles - MAILLET Véronique,BC-UD,Union de la Droite,188,,,,
02,Angers 2,204,ECOLE MATERNELLE J.J.ROUSSEAU,994,326,6,17,303,5,GAUDIN Philippe - MEVEL PLA Norma,BC-SOC,Parti Socialiste,113,AIRAUD Juliette - BROUILLARD - DUSONG Valentin,BC-COM,Parti communiste français,24,GUILLERMET Camille - MORINEAU Patrick,BC-FN,Front National,88,BARON Bruno - PRODHOMarianne,BC-VEC,Europe-Ecologie-Les Verts,20,GROUSSARD Gilles - MAILLET Véronique,BC-UD,Union de la Droite,58,,,,
02,Angers 2,205,ECOLE MATERNELLE J.J ROUSSEAU,1210,512,14,13,485,6,GAUDIN Philippe - MEVEL PLA Norma,BC-SOC,Parti Socialiste,153,AIRAUD Juliette - BROUILLARD - DUSONG Valentin,BC-COM,Parti communiste français,43,GUILLERMET Camille - MORINEAU Patrick,BC-FN,Front National,114,BARON Bruno - PRODHOMarianne,BC-VEC,Europe-Ecologie-Les Verts,39,GROUSSARD Gilles - MAILLET Véronique,BC-UD,Union de la Droite,136,,,,
02,Angers 2,206,ECOLE MATERNELLE J.J.ROUSSEAU,942,512,6,7,499,16,GAUDIN Philippe - MEVEL PLA Norma,BC-SOC,Parti Socialiste,146,AIRAUD Juliette - BROUILLARD - DUSONG Valentin,BC-COM,Parti communiste français,27,GUILLERMET Camille - MORINEAU Patrick,BC-FN,Front National,99,BARON Bruno - PRODHOMarianne,BC-VEC,Europe-Ecologie-Les Verts,66,GROUSSARD Gilles - MAILLET Véronique,BC-UD,Union de la Droite,161,,,,
02,Angers 2,207,ECOLE PRIMAIRE JULES VERNE,1512,547,9,22,516,3,GAUDIN Philippe - MEVEL PLA Norma,BC-SOC,Parti Socialiste,204,AIRAUD Juliette - BROUILLARD - DUSONG Valentin,BC-COM,Parti communiste français,36,GUILLERMET Camille - MORINEAU Patrick,BC-FN,Front National,133,BARON Bruno - PRODHOMarianne,BC-VEC,Europe-Ecologie-Les Verts,38,GROUSSARD Gilles - MAILLET Véronique,BC-UD,Union de la Droite,105,,,,
02,Angers 2,208,ECOLE PRIMAIRE JULES VERNE,997,563,13,9,541,4,GAUDIN Philippe - MEVEL PLA Norma,BC-SOC,Parti Socialiste,177,AIRAUD Juliette - BROUILLARD - DUSONG Valentin,BC-COM,Parti communiste français,23,GUILLERMET Camille - MORINEAU Patrick,BC-FN,Front National,85,BARON Bruno - PRODHOMarianne,BC-VEC,Europe-Ecologie-Les Verts,35,GROUSSARD Gilles - MAILLET Véronique,BC-UD,Union de la Droite,221,,,,
02,Angers 2,209,ECOLE CLAUDE MONET,1122,559,3,17,539,7,GAUDIN Philippe - MEVEL PLA Norma,BC-SOC,Parti Socialiste,172,AIRAUD Juliette - BROUILLARD - DUSONG Valentin,BC-COM,Parti communiste français,51,GUILLERMET Camille - MORINEAU Patrick,BC-FN,Front National,110,BARON Bruno - PRODHOMarianne,BC-VEC,Europe-Ecologie-Les Verts,56,GROUSSARD Gilles - MAILLET Véronique,BC-UD,Union de la Droite,150,,,,
02,Angers 2,210,ECOLE CLAUDE MONET,1095,463,4,20,439,2,GAUDIN Philippe - MEVEL PLA Norma,BC-SOC,Parti Socialiste,123,AIRAUD Juliette - BROUILLARD - DUSONG Valentin,BC-COM,Parti communiste français,30,GUILLERMET Camille - MORINEAU Patrick,BC-FN,Front National,95,BARON Bruno - PRODHOMarianne,BC-VEC,Europe-Ecologie-Les Verts,68,GROUSSARD Gilles - MAILLET Véronique,BC-UD,Union de la Droite,123,,,,
02,Angers 2,211,ECOLE DES GRANDES MAULEVRIES,1050,507,4,16,487,8,GAUDIN Philippe - MEVEL PLA Norma,BC-SOC,Parti Socialiste,138,AIRAUD Juliette - BROUILLARD - DUSONG Valentin,BC-COM,Parti communiste français,51,GUILLERMET Camille - MORINEAU Patrick,BC-FN,Front National,73,BARON Bruno - PRODHOMarianne,BC-VEC,Europe-Ecologie-Les Verts,69,GROUSSARD Gilles - MAILLET Véronique,BC-UD,Union de la Droite,156,,,,
02,Angers 2,212,ECOLE DES GRANDES MAULEVRIES,1030,526,4,15,507,7,GAUDIN Philippe - MEVEL PLA Norma,BC-SOC,Parti Socialiste,151,AIRAUD Juliette - BROUILLARD - DUSONG Valentin,BC-COM,Parti communiste français,28,GUILLERMET Camille - MORINEAU Patrick,BC-FN,Front National,87,BARON Bruno - PRODHOMarianne,BC-VEC,Europe-Ecologie-Les Verts,55,GROUSSARD Gilles - MAILLET Véronique,BC-UD,Union de la Droite,186,,,,
